arrondissement,nb_pieces,nb_chambres,surface,prix,lien,prix_mc
15,4,,102,1104000,https://www.orpi.com/annonce-vente-appartement-t4-paris-15-75015-b-e1mi8j/,10823.529411764706
13,2,,58,661000,https://www.orpi.com/annonce-vente-appartement-t2-paris-13-75013-b-e1a0vf/,11396.551724137931
15,2,,43,555000,https://www.orpi.com/annonce-vente-appartement-t2-paris-15-75015-b-e1mi4v/,12906.976744186046
17,2,,30,374500,https://www.orpi.com/annonce-vente-appartement-t2-paris-17-75017-b-e1kcao/,12483.333333333334
16,7,,162,1999000,https://www.orpi.com/annonce-vente-appartement-t7-paris-16-75016-b-e1md4l/,12339.506172839507
15,5,,98,1350000,https://www.orpi.com/annonce-vente-appartement-t5-paris-15-75015-b-e1lseh/,13775.510204081633
18,2,,36,425000,https://www.orpi.com/annonce-vente-appartement-t2-paris-18-75018-b-e1mfch/,11805.555555555555
10,1,,30,315000,https://www.orpi.com/annonce-vente-appartement-t1-paris-10-75010-b-e1mfv2/,10500.0
10,1,,4,70400,https://www.orpi.com/annonce-vente-appartement-t1-paris-10-75010-b-e1l9fr/,17600.0
5,2,,54,695000,https://www.orpi.com/annonce-vente-appartement-t2-paris-5-75005-b-e1mb9x/,12870.37037037037
11,1,,13,155000,https://www.orpi.com/annonce-vente-appartement-t1-paris-11-75011-b-e1mdee/,11923.076923076924
12,1,,34,390000,https://www.orpi.com/annonce-vente-appartement-t1-paris-12-75012-b-e1m9ao/,11470.588235294117
20,3,,62,600000,https://www.orpi.com/annonce-vente-appartement-t3-paris-20-75020-b-e1iz0p/,9677.41935483871
14,2,,47,530000,https://www.orpi.com/annonce-vente-appartement-t2-paris-14-75014-b-e1l8ke/,11276.595744680852
10,1,,18,250000,https://www.orpi.com/annonce-vente-appartement-t1-paris-10-75010-b-e1mdor/,13888.888888888889
18,3,,46,520000,https://www.orpi.com/annonce-vente-appartement-t3-paris-18-75018-b-e1mdyq/,11304.347826086956
