arrondissement,nb_pieces,nb_chambres,surface,prix,lien,prix_mc
1,1,0,20,310000,https://www.pap.fr/annonces/appartement-paris-1er-75001-r430000767,15500.0
1,1,0,31,425000,https://www.pap.fr/annonces/appartement-paris-1er-r428700560,13709.677419354839
1,2,1,57,890000,https://www.pap.fr/annonces/appartement-paris-1er-75001-r432501840,15614.035087719298
1,3,2,71,1100000,https://www.pap.fr/annonces/appartement-paris-1er-75001-r432600832,15492.957746478873
1,2,1,50,745000,https://www.pap.fr/annonces/appartement-paris-1er-75001-r432402457,14900.0
1,3,2,71,1450000,https://www.pap.fr/annonces/appartement-paris-1er-75001-r432501754,20422.535211267605
2,4,3,104,1299000,https://www.pap.fr/annonces/appartement-paris-2e-r432701626,12490.384615384615
2,3,1,55,650000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r432700819,11818.181818181818
2,4,2,88,1200000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r432700543,13636.363636363636
2,3,2,65,890000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r432000072,13692.307692307691
2,3,2,70,965000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r431100327,13785.714285714286
2,1,0,16,255000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r432603073,15937.5
2,1,0,15,255000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r432603089,17000.0
2,4,2,92,1650000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r432200943,17934.782608695652
2,1,0,25,350000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r432601058,14000.0
2,1,0,15,230000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r431201897,15333.333333333334
2,2,1,34,490000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r432501943,14411.764705882353
2,1,1,6,85000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r432500157,14166.666666666666
2,1,0,5,80000,https://www.pap.fr/annonces/appartement-paris-2e-75002-r430600082,16000.0
4,5,3,97,1450000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432301776,14948.453608247422
4,5,4,76,980000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432201948,12894.736842105263
4,1,0,28,398000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r430600896,14214.285714285714
4,4,2,92,1230000,https://www.pap.fr/annonces/appartement-paris-4e-r429200202,13369.565217391304
4,2,1,26,408200,https://www.pap.fr/annonces/appartement-paris-4e-r432700279,15700.0
4,2,1,38,541000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432000235,14236.842105263158
4,2,1,40,880000,https://www.pap.fr/annonces/appartement-paris-4e-r426801721,22000.0
4,2,1,32,505000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432602267,15781.25
4,2,1,58,690000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432602488,11896.551724137931
4,4,3,98,1400000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432600827,14285.714285714286
4,1,0,13,180000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432600101,13846.153846153846
4,2,1,35,495000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r430800965,14142.857142857143
4,6,3,69,815000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432501684,11811.59420289855
4,2,1,28,395000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432502399,14107.142857142857
4,1,1,9,165000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r432401774,18333.333333333332
4,3,2,47,900000,https://www.pap.fr/annonces/appartement-paris-4e-75004-r431900573,19148.936170212764
3,3,1,60,850000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432602428,14166.666666666666
3,2,1,36,530000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r431100567,14722.222222222223
3,2,1,40,540000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432601994,13500.0
3,5,3,135,2100000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432701796,15555.555555555555
3,3,2,60,849000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432300598,14150.0
3,2,1,29,425000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r430900401,14655.172413793103
3,2,1,70,915000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432601409,13071.42857142857
3,3,1,67,935000,https://www.pap.fr/annonces/appartement-paris-3e-r428601374,13955.223880597016
3,2,1,42,540000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r429600691,12857.142857142857
3,3,2,67,935000,https://www.pap.fr/annonces/appartement-paris-3e-75003-r432300713,13955.223880597016
